Product,Consumer complaint narrative
Mortgage,"Uodate on my previous complaint : According to Superior Court of California dated XX/XX/XXXX my proproperty was never sold and a mortgage was never opened by anyone except me in XX/XX/XXXX. Please refer to case information XXXX XXXX for "" XXXX XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX ''. Please see Register of  Actions. 
I was evicted and can not stay in my home. Please have the sheriff or appropriate government official give me possession of my home. There are squattters/people living in my home and making illiegal alterations to my home now."
Mortgage,"Good afternoon, hope all is well ... I have tried to get the bank to remove this off my credit report ... According the them we were late on our payments for over a year, which is not correct we have made every payment on time, anyway they end up selling to another lender whom we have also never been late with ... please if you could remove this from my credit report, it is Home loan services account # XXXX ... thank you in advance. XXXX,"
Mortgage,"Since XX/XX/2015 Bank of America has refused to remove a XXXX  XXXX XXXX XXXX XXXX HELOC lien on my property. I had two similarly situated properties and the HELOC lien was properly satisfied on XXXX parcel, pursuant to a settlement with the US Federal Justice Department see : XXXX : XXXX. They promised to release the other HELOC and I submitted the documents they requested. They did not release it or provide a written reason for their refusal. They told me to call some XXXX # for a company I've never done business with and is not on my title. 

Bank of America has not only refused to provide the satisfaction, they have responded to letters from my lawyers by providing confidential credit card account statements for a "" XXXX XXXX XXXX '' ( no relation ). Poor Mr. XXXX, Bank of America has update his credit card account to MY LAW FIRM 'S address?? Not once, but twice - after my lawyers expressly advised them of the error. This utterly is inexcusable! 

Bank of America 's inaction in removing the cloud on my title severely impairs my property rights. I have expended considerable financial resources to resolve this matter but XXXX XXXX to XXXX Bank of America, refuses to provide even the courtesy of a reply."
Mortgage,"I filed a Bankruptcy in XX/XX/XXXX my Bk was discharged I included the Mortgage and the charge off of the mortgage in my bankruptcy. The bank is Bank of America in 5 years thye have not released the lien nor have they taken my name off the property I am being held liable for all the expenses that are incurring on the property. Iahve called them several times they say they reconcongize the mortgage and the chargeoff and it was included in my bankruptsy they are saying I tried to do a loan MOD which is not correct they will not show me any paperwork or anything I have been dealing with this for 5 years now it is causing me financial hardship and stress. 

Then Bank Of America Responded : Response disputedBank of America Home Loan Servicing said : Explanation of closureNothing contained herein is intended to be, nor shall anything herein be construed as : ( a ) the commencement or continuation of any action to recover a claim against you that arose prior to the filing of your bankruptcy case, ( b ) an effort to obtain possession of any property in your bankruptcy estate, ( c ) any other action in violation of the automatic stay that may be in effect in your bankruptcy case, or ( d ) any violation of any discharge injunction that may have been entered as a result of your bankruptcy case. This letter is solely a response to your request for mortgage assistance and is not a demand for payment or an attempt to collect a debt. You are not obligated to enter into a modification or other workout agreement. Please inform your bankruptcy counsel, if you have XXXX, that you have requested a loan modification or other workout assistance from Bank of America. In addition, any workout assistance that you may be eligible for may require bankruptcy court approval before going into effect.According to our records, on XX/XX/XXXX, you filed a voluntary petition under Chapter XXXX of the United States Bankruptcy Code in the United States Bankruptcy Court. Furthermore, the U.S. Bankruptcy Court Central District of California records indicate that the Chapter XXXX bankruptcy was discharged on XX/XX/XXXX, and subsequently closed on XX/XX/XXXX. Additionally, we have confirmed this loan was not reaffirmed.Please note my research indicates there is no record of a loan modification review during the time of servicing by Bank of America. Please understand that the following information is provided for informational purposes only. Our records indicate the loan was paid through the XX/XX/XXXX installment. Further research reveals that the account was charged-off. Please note a charge-off does not release you from liability of the Note. Please see the enclosed copy of the mortgage note for your reference.Therefore, we respectfully decline your request to pay any taxes or fines incurred since the loan was discharged in XX/XX/XXXX. In order to satisfy the account, you may set up monthly payments or settle on the account. If you are interested in exploring these options, please contact our XXXX XXXX XXXX Monday through Thursday from XXXX to XXXX and Friday from XXXX. to XXXX Eastern at XXXX. 

***My Response is I did file a BK on the Mortgage and the Charge off According to several different attorneys they are supposed to release the lien and they are not compliant and Bank of America has recongized that my loan was discharged in bankruptsy, however they have not provided me with a release of the lien. I am demanding that they release the lien the on the property so that I may sell my property. 

I Have been leaving several Messages since there response and no one has returned my phone calls."
Mortgage,"My husband and I recieved a mortgage in XX/XX/XXXX from Bank Of America to purchase our home. Because of the price it required 2 mortgages, One was a balloon mortgage due in 10 years ( XX/XX/XXXX ). We never missed a payment on either note, When the balloon note was due we just assumed they would refinance it for us as we could not pay it off at that time. They would not refinance because the value of our home decreased. I called BOA for advice and was turned over to their debt collection department. I was told to do a loan modification but to keep making the payments on the loan. We sent in 3 payments which were returned to us and was told pay the balance or nothing. I did as the my account manager asked, sending in documents regarding our income etc, For a period of 5 months I dealt with several different personal account managers and underwriters. Nearly every week the account managers would call and say that the underwriters wanted more information about our finances etc. Just when I was told that was probably it, the account manager would call back the next week with more questions from the underwriter. All this went on from XX/XX/XXXX to XX/XX/XXXX. This caused us to be in default on the payments of 5 months! We did finally get the loan modification but at a higher monthly payment and interest rate. I was told in the beginning the monthly payments and interest rate would be lower. 
BOA sold our first mortgage a few years ago to XXXX but BOA retained the balloon mortgage. We asked XXXX ( now XXXX XXXX ) if they would combine the 2 mortgages and at a fixed rate. ( The mortgages we have are not at a fixed rate. ) We were denied because of the missed 5 payments to BOA. We are both in our XXXX and even if we tried to sell our home now it would have to be a "" short sale ''. Not something we want to do at this point in our sunset years. 
We feel these missed payments were not our fault. The BOA underwriters did not have their act together in my opinion. There was no reason this loan modification could not have been done in a few weeks not 5 months! I would appreciate it if BOA would issue us forgiveness for the missed payments and report this forgiveness to the credit bureau."
Mortgage,"I have had my mortgage loan through Bank of America since XX/XX/XXXX. The loan was for mortgage only not including escrow. The escrow has always been paid by me.. In XX/XX/XXXX I paid my taxes in four installments I was on my last quarter when Bank of America decided to make the last payment at the same time I was paying it. The city took the Bank of America check and they returned my check. I right away called Bank of America as to why they had done that and they apologized and said that if I pay the fourteen hundred something back to them that they would take away the escrow from account. I continue to paid my original {$700.00} mortgage payment and paid off the escrow they had paid. But they continue to add the mortgage and escrow, I had called them to see what was going on as to why they were still adding the escrow amount to my account when I have always paid my escrow on my own they could not give me answer. I still continue to just pay the {$700.00}. This past year I paid the full amount of the taxes in full four thousand something to the city. I called Bank of America to take off the escrow amount out of my account that I had paid the city the escrow.They had asked me to send them a copy of the receipt which I did. Then said they will take it off and from now on I would only paying the {$740.00} this started XX/XX/XXXX. So the coupon on the statement says {$740.00} but at the top of the top of statement they have Total amount I owe of {$6000.00}. They send several letters to have my mortgage modified, something I do n't want to do because I have not faltered on the account or have not missed any payments. It was Bank of America that screwed up and now they want me to pay penalties and for not agreeing for them to pay the escrow when I have always paid it on my own since XX/XX/XXXX. I 've called them several times to try and get this straighten out but to no eval they continue to add they escrow to the account.."
Mortgage,"We are in the process of doing a short sale with Bank of america. We have submitted all paperwork and understood because it was a VA loan that it had to be denied for a loan modification before are offer for a short sale could be considered. I have recently moved out with my significant other and our baby girl and have been maintaining the property and our realtor had the lockbox on the door in order to show the property to potential back up offers for a short sale. Bank of America sent safe guard properties into the and drilled out all the locks on the doors and replaced them with their own, they damaged the front screen door, and posted signs all over the house. It has greatly diminished the value of the home and the look of the property. They are making us jump through all sorts of hoops now to get keys to the property and will not return the lockbox they destroyed or provide compensation for it and the screen door they broke. The bank is saying they have every right to enter the premises and do what they did, which is completely illegal."
Mortgage,"Have tried numerous times beginning in XX/XX/2017 to seek help with keeping my home through Keep your home California only to be stonewalled by Bank of America as they ask me to apply again and again. I have done so and provided any and all info they requested and done everything they asked only to, be denied again. I am newly divorced and on XXXX but do have income required. I am beyond Exasperated. I believe they are trying to force me to give up my home aka short sale. Help"
Mortgage,"I have a received a note of sale on our property. I sent out a written request to our servicer Bank of America on XXXX XXXX, 2016. During the course of XXXX/XXXX/16 to XXXX we have been in contact with B of A and they allowed us to complete an application in order to move forward with a possible modification. Their was a request for the sale to post-pone on XXXX but it has not gone forward due to the under writer review. I am still waiting for the response of the written request sent out regarding incorrect timeline. I was told by the legal department that is what they should be reviewing. Need your help with this matter."
Mortgage,I am XXXX XXXX XXXX XXXX a XXXX in the private sector and XXXX at the XXXX in XXXX XXXX California. I am a XXXX for the XXXX. Six years ago I asked both the Bank of America and XXXX XXXX for a loan to finance XXXX XXXX to help with the Affordable Care Act. Both banks denied the loan several times. We asked these banks because we have accounts with them and the Bank of America held the mortgage until they sold it to XXXX. In 2014 we obtained a Mortgage Modification and now have a subordinate loan to HUD for XXXX. The Bank of America broke the law by hiding our monthly payments and giving false information to the Credit Bureau. They put the lien on our property and made it impossible for us to use the equity in our home to get a loan. I need urgent help to survive this injustice initiated by the Bank of America and now continued by HUD.
Mortgage,"I entered in to a Mortgage loan agreement with Bank of America , NA in XX/XX/XXXX, 2 years later I was notified XX/XX/XXXX that I was XXXX. I was a XXXX on XX/XX/XXXX and requested the SCRA Protection on all of my pre-service obligations with Bank of America several times of the 9 year period I continually XXXX XXXX as defined under the SCRA military service. I was denied the SCRA provisions on all of my accounts with Bank of America , NA and had adverse credit reports filed with all of the Credit Reporting Agencies from XX/XX/XXXX and it has Continued to the present. My mortgage loan account number ending in XXXX was charged interest in excess of 6 % until XX/XX/XXXX, I paid everything amount that had been demanded of me, I struggled at times due to the increasing amount charged to all of my accounts. Bank of America controlled my military pay and when all my payments would be applied to my accounts with them and all of my other creditors, this resulted in late fee, over draft fees, return check fees and I never knew what my balance would be from one day to the next. I was constantly dealing with the threats of Foreclosure on the home in XXXX, XXXX were my family lived, and I was offered payment modifications to reduce the amount required, but Bank of America wanted me to sign documents stating that I had defaulted on the mortgage and was financially unable to make my payments, to be considered for a reduced payment plan. I worked XXXX job and preformed all my military duties for 3 years, just so that I could do what I to do for my family and continued to make the payments demanded, and I never agreed to a modification until XX/XX/XXXX. XXXX, but when I checked in with my XXXX, I was dropped from XXXX, my pay stopped after XXXX and I XXXX just to have a pay check while I was waiting to XXXX. I had to call Bank of America and explain that I was n't being paid, I was offered a loan that was not a modification of my original XXXX mortgage loan. It was explained as a separate loan to cover the payment amount needed and would be billed separately, it was called a Home Saver Loan, I had it mailed to the house in XXXX and it was XX/XX/XXXX and I had n't been paid, so I drove down to sign the document the day before I was going to XXXX. It seemed to be just as it was explained over the phone and I was n't going to leave my kids in a Foreclosure situation while I was in XXXX. I had activated my XXXX when I finally got paid and I made my XXXX mortgage payment online, a few days later I got a call informing me that a Notice of Intent to Accelerate was sent to my home under a XXXX loan number. I called Bank of America and was told that my mortgage was fine, my payment was applied and my loan was still being processed, then a Debt Verification letter was sent with the XXXX mortgage number, stated XXXX owned our mortgage loan, and then a letter from Bank of America dated XX/XX/XXXX said our XXXX mortgage was being transferred for servicing to Bank of America Home Loan. I was in XXXX processing for XXXX and that was the first time I was informed about the Foreclosure on XXXX Servicemembers, and the pattern that it had taken, so we started filing complaints with any Agency we could think of, we met with a JAG Attorney, disputed the XXXX mortgage debt and XXXX legal right to collect payments from us. Our XXXX Mortgage history was gone, everything had been replaced with the XXXX mortgage account, which only went back to XX/XX/XXXX. We were advised that any payment to the XXXX is seen as an agreement!"
Mortgage,"My current loan to value ( LTV ) ratio of my mortgage is "" at or below 80 % '' according to my bank. The equity that I have paid into my mortgage is about 22 % now. However, my bank wo n't cancel my private mortgage insurance ( PMI ). I 've never had a late payment in the almost XXXX years that I have had this mortgage. This costs me {$140.00} per month."
Mortgage,"XXXX principal payments were transferred from my personal account in house with bank of America to my mortgage account. Each time while on automatic payment for my loan, they have taken another payment with interest. Now for whatever reason for2 weeks I can not speak with them they just keep putting me on hold!"
Mortgage,"Consumer Financial Protection Bureau : I am a Super Storm Sandy survivor. My primary home is located in XXXX, New Jersey and was substantially damaged. Bank of America proceeded with a wrongful foreclosure on my home. 

Heres a summary of the facts : I am currently renting in XXXX, NJ. 
XX/XX/XXXX - I applied for Mortgage Forbearance certification from the State of New Jersey. 
XX/XX/XXXX denied certification due not having my complete FEMA file ; Please note my attorneys and myself request my complete file history from FEMA multiple times since XXXX as I needed it for other related issues. FEMA delayed and finally sent my file in late XX/XX/XXXX. 
XX/XX/XXXX attorney appeal submitted for Mortgage Forbearance certification XX/XX/XXXX, Bank of America, who is my XXXX XXXX   mortgage servicer, proceeded with foreclosure XX/XX/XXXX - I finally received State Forbearance Certification after an appeal due to extensive FEMA delays XX/XX/XXXX - the NJ Department of Consumer Affairs forwards my mortgage certification to Bank of America representative ( XXXX XXXX ) ( see attachment ) ; shortly afterwards, my attorney submits the Mortgage Forbearance certification to the foreclosure attorneys representing Bank of America ( XXXX XXXX XXXX XXXX XXXX XXXX. ) Bank of America + attorneys continued to ignore my State certification they did not even acknowledge receipt Note : Bank of America failed to work with me before foreclosing on my property as any loan notices for assistance were sent to the damaged property instead of my mailing address. In BOAs reply to my prior CFPB complaint, the Bank only provided documents showing the property address ; there is no proof these documents were even mailed. These failed attempts contributed to my loss XX/XX/XXXX, a Motion for Stay of Foreclosure was denied XX/XX/XXXX, final judgement was issued against me XX/XX/XXXX, Subsequently, Bank of America issued a letter indicating "" approved for mortgage forbearance '' for the period XX/XX/XXXX through XX/XX/XXXX. BOA never acknowledged the forbearance issued by State of New Jersey which would have been more beneficial to me since it would have been for a longer time period, ending XX/XX/XXXX. 
Bank of America delayed approx. 5 months before indicating that I was placed in their own forbearance plan. It appears their special forbearance plan was based on XXXX XXXX new guidelines issued for Hurricane Survivors. 
XX/XX/XXXX, As Bank of America continued with foreclosure, they proceeded with a sheriff sale ; it appears this was rescheduled for XX/XX/XXXX, probably due to my complaints filed with the NJ DOBI and the CFPB as noted below. 
Note : Since XX/XX/XXXX, Bank of America held approx. $ 40K of  insurance proceeds in escrow from my insurance claim which took 4 years to settle in court. They denied any payment to me/builder even though XXXX XXXX guidelines stated in an effort to continue helping Super Storm survivors, 25 % can be paid out to a borrower/contractor ; this should have been paid out even before any foreclosure issues began. Requests have been submitted but ignored. 
XX/XX/XXXX - I filed complaints with the Consumer Financial Protection Bureau and the New Jersey Department of Banking and Insurance. The DOBI complaint was forwarded to the Office of the Comptroller of the Currency but I have yet to receive a response. The CFPB complaint ( # XXXX ) was quickly responded within 2 days by Bank of America but their reply was an inaccurate picture of what their representatives stated to me via several phone calls as noted below."
Mortgage,"After my mortgage was sold to Bank of America from XXXX, my husbans lost his job in XXXX. We filed bankruptcy XXXX of XXXX and included this loan. It was discharged XXXX/XXXX/XXXX. In XXXX of XXXX, Bank of America sold my mortgage to XXXX as a loan modification. Knowing that our bankruptcy was finalized and discharged in XXXX. Now, 4 years later, we are unable to purchase a house because XXXX had our names on this property until XXXX XXXX, XXXX. How can a financial institute sell your mortgage after a discharge?"
Mortgage,"Company : Bank of America Date : XX/XX/2020 Person ( s ) Involved : XXXX ( NMLS # XXXX & XXXX XXXX ) Issue : Pretextual Discriminatory Mortgage Policies in XXXX & Low Income Areas : Bank of America has internal policies and procedures that essentially excludes millions of potential homeowners through discriminatory policies : The policy indicates that properties in certain areas, a XXXX credit score is required. 

I inquired about a relatively inexpensive property of XXXX of which XXXX said 25-30 % would be required. I have the 30 % available in my checking account now and a XXXX score according to XXXX XXXX, yet XXXX indicated I have a of XXXX score. That said, XXXX immediately refused to provide alternatives or options and consistently demonstrated his unprofessional behavior for a BOA customer of 17 years. 

The Bank of America policy of XXXX or above credit scores seems quite discriminatory in that the particular area has the following factors : XXXX very low income, 2.a distressed area, 3. predominately XXXX and 4. public search indicates that a low percentage of people in that area have a XXXX or above credit score and state would qualify to purchase an investment or regular residential property. I cite discrimination based on the above factors. It essentially excludes the potential for home ownership. 

This policy excludes the potential for new XXXX and XXXX homeowners and landlords interested in rental properties. 

I have checked XXXX  and XXXX  and I have a score of XXXX in both cases. Even still, the analyst I spoke knows that I have 100 % on time payments and a 30 % down payment available. Will a XXXX person always be prevented from being landlord or investment owner based on pretextual policies put forth by BOA? 

How can the complaint be satisfactorily addressed? 
Implementation of Non-Discriminatory Mortgage and Finance Packages and options. Providing alternatives."
Mortgage,"In XXXX, I was in the process of a FHA Modification with Bank of America. I hired an attorney, attended a seminar to meet account specialists, and complied with whatever was needed in order to obtain the modification and remain in my home. During the trial period of the modification, Bank of America placed a recorded a lien with XXXX XXXX register of deeds in XX/XX/XXXX and sold the loan to XXXX XXXX XXXX which then sold it to XXXX XXXX XXXX in XXXX. Once again, a trial period was demanded with a down payment of {$10000.00} following trial period of {$2500.00} each month. Consequently the loan was transferred to XXXX XXXX XXXX. 
In XX/XX/XXXX, I decided to sell my home and learned about the partial subordinate lien ( second mortgage ) placed by Bank of America. 
I reached out to Hud and was informed the case number does not exist. After several attempt to register in the XXXX  Portal, I had one person respond via the XXXX XXXX chat that the Bank of America recorded a lien but never filed a clam with HUD. I was also inform to contact my primary servicer and to inquire if they will file a claim if not it can be released. I have reached out several times and I do not get any replies. 
I would appreciate help from anyone at this time"
Mortgage,"I HAVE REQUESTED AND APPEALED TO MY MORTGAGE LENDER ( BANK OF AMERICA ) TO PLEASE CORRECT THEIR MISTAKE ABOUT EVALUATING MY LOAN MODIFICATION APPLICATION BUT THEY HAVE FAILED TO ADDRESS THIS ISSUE REPEATEDLY!! 
The lender approved my trial loan modification but then they refused to turn this offer into a permanent plan!!!! They claim that they can not verify my tax returns from 6 years ago!!!!!, i.e. XXXX and XXXX. This is an absolute false claim from B of A because I have presented all the tax returns for every single year that they requested, including XXXX & XXXX. 
I even gave them official transcripts DIRECTLY from IRS, confirming that I DID file taxes for all the years disputed by B of A. 

So I have all kinds of proofs that my tax filing history is correct and accurate. But the lender keeps repeating a false claim and a baseless assumption with no proofs whatsoever!!!! 
They keep repeating their wrong information regarding events of 6 years ago!!!! 
This behavior is both unreasonable and very unfair. I have solid proofs of my tax filings which I have repeatedly presented to them. Yet they keep repeating the same false assumptions!!!"
